PR_GEAR,PR_NAME,STANDARD_GEAR,STANDARD_NAME,GEAR_GROUP,GEAR_GROUP_NAME
0,NOT CODED 000,000,NOT CODED,000,NOT CODED
100,CHINCHORRO-BEACH SEINE,010,HAUL SEINES,010,HAUL SEINES
101,NASA-FISH POT,139,"POTS AND TRAPS, FISH",139,"POTS AND TRAPS, FISH"
102,CAJON-LOBSTER POT,140,"POTS AND TRAPS, SPINY LOBSTER",140,"POTS AND TRAPS, SPIN"
108,TRAMPA DE JUEYES-CRAB TRAP,180,"POTS , OTHER",180,"POTS , OTHER"
103,TRASMALLO-GILL NET,200,ENTANGLING NETS (GILL) UNSPC,200,ENTANGLING NETS (GIL
118,MALLORQUIN-TRAMMEL NET,210,TRAMMEL NETS,210,TRAMMEL NETS
112,CANA DE PESCAR-ROD AND REEL,300,ROD AND REEL,300,ROD AND REEL
105,SILGA-TROLL LINE,320,LINES POWER TROLL OTHER,320,LINES POWER TROLL OT
113,SILGA DE MANO-HAND TROLL LINE,321,"TROLL LINE, MANUAL",321,"TROLL LINE, MANUAL"
107,PALANGRE-LONG LINE,400,LINES LONG SET WITH HOOKS,400,LINES LONG SET WITH 
109,ATARRAYA-CAST NET,551,CAST NETS,551,CAST NETS
110,FISGA-SPEAR FISHING,661,"SPEARS, DIVING",661,"SPEARS, DIVING"
117,LINEA DE MANO-HAND LINE,700,LINES HAND,700,LINES HAND
104,LINEA DE FONDO-BOTTOM LINE,700,LINES HAND,700,LINES HAND
115,A MANO-BY HAND,750,BY HAND,750,BY HAND
114,BUCEO DE PULMON-SKIN DIVING,751,SKIN DIVING,751,SKIN DIVING
119,SNARE,752,"BY HAND, DIVING GEAR",752,"BY HAND, DIVING GEAR"
116,BUCEO CON TANQUE-SCUBA DIVING,752,"BY HAND, DIVING GEAR",752,"BY HAND, DIVING GEAR"
111,OTROS-OTHER GEAR,801,UNSPECIFIED GEAR,801,UNSPECIFIED GEAR
