"NEWDATE","COUNT_ORACLE","COUNT_HISTORICAL","COMPARE"
2004-01-07,135,135,0
2004-01-08,128,127,1
2004-01-09,55,55,0
2004-01-13,23,23,0
2004-01-15,108,108,0
2004-01-16,367,367,0
2004-01-20,215,215,0
2004-01-21,85,85,0
2004-01-22,133,133,0
2004-01-23,66,66,0
2004-01-27,165,165,0
2004-01-28,123,123,0
2004-01-29,250,250,0
2004-01-30,120,120,0
2004-02-02,119,119,0
2004-02-04,62,62,0
2004-02-05,220,220,0
2004-02-09,123,123,0
2004-02-10,29,29,0
2004-02-12,325,325,0
2004-02-17,2,2,0
2004-02-18,326,326,0
2004-02-19,140,140,0
2004-02-24,49,49,0
2004-02-26,47,47,0
2004-02-27,140,140,0
2004-02-29,21,21,0
2004-03-01,59,59,0
2004-03-03,32,32,0
2004-03-04,10,10,0
2004-03-05,213,213,0
2004-03-08,97,97,0
2004-03-09,4,4,0
2004-03-10,78,78,0
2004-03-11,33,33,0
2004-03-12,427,344,83
2004-03-13,84,84,0
2004-03-14,61,61,0
2004-03-15,49,49,0
2004-03-16,4,4,0
2004-03-18,80,80,0
2004-03-19,152,151,1
2004-03-23,113,113,0
2004-03-24,207,207,0
2004-03-29,17,17,0
2004-04-01,200,200,0
2004-04-02,34,34,0
2004-04-06,71,71,0
2004-04-07,45,45,0
2004-04-12,20,20,0
2004-04-13,354,354,0
2004-04-14,101,101,0
2004-04-15,388,388,0
2004-04-16,56,56,0
2004-04-21,20,20,0
2004-04-22,201,201,0
2004-04-26,228,228,0
2004-04-27,80,80,0
2004-04-29,31,31,0
2004-04-30,109,109,0
2004-05-03,80,80,0
2004-05-06,145,145,0
2004-05-07,344,344,0
2004-05-11,118,118,0
2004-05-12,511,511,0
2004-05-13,148,148,0
2004-05-14,64,64,0
2004-05-17,82,82,0
2004-05-18,5,5,0
2004-05-19,13,13,0
2004-05-21,19,19,0
2004-05-24,118,118,0
2004-05-26,10,10,0
2004-05-28,234,234,0
2004-06-02,222,222,0
2004-06-03,362,51,311
2004-06-04,7,7,0
2004-06-07,13,13,0
2004-06-08,280,280,0
2004-06-09,7,7,0
2004-06-10,21,NA,NA
2004-06-14,41,40,1
2004-06-15,48,NA,NA
2004-06-16,146,61,85
2004-06-18,41,41,0
2004-06-21,120,120,0
2004-06-22,26,26,0
2004-06-23,33,NA,NA
2004-06-24,27,27,0
2004-06-25,73,73,0
2004-06-29,16,NA,NA
2004-06-30,236,236,0
2004-07-01,135,135,0
2004-07-06,95,95,0
2004-07-07,51,51,0
2004-07-08,22,22,0
2004-07-09,122,122,0
2004-07-12,2,2,0
2004-07-13,38,38,0
2004-07-15,415,415,0
2004-07-16,1,NA,NA
2004-07-20,98,98,0
2004-07-22,88,88,0
2004-07-23,190,190,0
2004-07-30,58,58,0
2004-08-09,57,57,0
2004-08-10,40,40,0
2004-08-11,25,25,0
2004-08-12,10,10,0
2004-08-13,190,190,0
2004-08-16,11,11,0
2004-08-17,35,35,0
2004-08-19,178,178,0
2004-08-20,420,416,4
2004-08-23,31,31,0
2004-08-24,369,369,0
2004-08-25,143,143,0
2004-08-27,279,279,0
2004-08-30,199,199,0
2004-09-02,146,146,0
2004-09-03,56,52,4
2004-09-07,39,39,0
2004-09-08,209,209,0
2004-09-09,92,92,0
2004-09-10,26,26,0
2004-09-13,37,37,0
2004-09-14,34,34,0
2004-09-20,148,148,0
2004-09-21,104,104,0
2004-09-22,91,91,0
2004-09-23,340,340,0
2004-10-01,49,49,0
2004-10-04,1,NA,NA
2004-10-05,98,97,1
2004-10-06,64,64,0
2004-10-07,138,138,0
2004-10-08,501,500,1
2004-10-11,54,54,0
2004-10-12,136,136,0
2004-10-14,22,22,0
2004-10-15,42,42,0
2004-10-17,38,38,0
2004-10-18,134,134,0
2004-10-19,136,136,0
2004-10-20,37,27,10
2004-10-21,385,385,0
2004-10-22,51,51,0
2004-10-25,143,142,1
2004-10-26,65,65,0
2004-10-27,110,100,10
2004-10-28,69,69,0
2004-10-29,119,119,0
2004-11-04,6,6,0
2004-11-08,31,31,0
2004-11-09,63,63,0
2004-11-10,78,78,0
2004-11-12,41,41,0
2004-11-16,17,17,0
2004-11-17,106,72,34
2004-11-18,165,165,0
2004-11-22,74,74,0
2004-11-23,34,34,0
2004-11-29,535,535,0
2004-11-30,66,66,0
2004-12-01,153,153,0
2004-12-02,66,66,0
2004-12-03,103,103,0
2004-12-06,34,34,0
2004-12-07,136,136,0
2004-12-08,96,96,0
2004-12-09,111,111,0
2004-12-13,51,51,0
2004-12-14,56,56,0
2004-12-15,120,120,0
2004-12-16,120,120,0
2004-12-17,7,7,0
2004-12-20,65,65,0
2004-12-21,13,13,0
2004-12-22,121,121,0
2004-12-27,3,3,0
2004-12-28,8,8,0
2004-12-29,63,63,0
