YEAR,START,END
1988,4/3/1988,10/30/1988
1989,4/2/1989,10/29/1989
1990,4/1/1990,10/28/1990
1991,4/7/1991,10/27/1991
1992,4/5/1992,10/25/1992
1993,4/4/1993,10/31/1993
1994,4/3/1994,10/30/1994
1995,4/2/1995,10/29/1995
1996,4/7/1996,10/27/1996
1997,4/6/1997,10/26/1997
1998,4/5/1998,10/25/1998
1999,4/4/1999,10/31/1999
2000,4/2/2000,10/29/2000
2001,4/1/2001,10/28/2001
2002,4/7/2002,10/27/2002
2003,4/6/2003,10/26/2003
2004,4/4/2004,10/31/2004
2005,4/3/2005,10/30/2005
2006,4/2/2006,10/29/2006
2007,3/11/2007,11/4/2007
2008,3/9/2008,11/2/2008
2009,3/8/2009,11/1/2009
2010,3/14/2010,11/7/2010
