STANDARDGEARNAME_1,gear_short,gear,fleet
"BY HAND, DIVING GEAR",OT,Other,0
DIP NETS,OT,Other,0
ENCIRCLING NETS (PURSE),NT,Net,1
ENTANGLING NETS (GILL) UNSPC,NT,Net,1
"GILL NETS, OTHER",NT,Net,1
"GRABS, HOOKS",OT,Other,0
HAUL SEINES,NT,Net,1
"HOOKS, SPONGE",OT,Other,0
LINES HAND,HL,Hook and Line,1
LINES LONG DRIFT WITH HOOKS,OT,Other,0
LINES LONG SET WITH HOOKS,OT,Other,0
"LINES LONG, REEF FISH",OT,Other,0
LINES POWER TROLL OTHER,HL,Hook and Line,1
NOT CODED,OT,Other,0
"POTS AND TRAPS, BOX TRAP",TR,Trap,1
"POTS AND TRAPS, CMB",TR,Trap,1
"POTS AND TRAPS, FISH",TR,Trap,1
"POTS AND TRAPS, SPINY LOBSTER",TR,Trap,1
"REEL, ELECTRIC OR HYDRAULIC",HL,Hook and Line,1
ROD AND REEL,HL,Hook and Line,1
"ROD AND REEL, ELECTRIC (HAND)",HL,Hook and Line,1
SPEARS,OT,Other,0
"SPEARS, DIVING",OT,Other,0
NA,OT,Other,0
