"sample_area_county_code","sample_area_place_code","all_interviews","all_records"
"000","1848460",85,2446
"000",NA,3,85
"003","2415401",518,11123
"003",NA,10,254
"005","1611081",353,6175
"005","1612773",12,232
"005","1804482",652,11680
"005",NA,42,773
"007","1804483",2,57
"011","1612792",168,4294
"011",NA,1,19
"013","1611211",553,13830
"013",NA,14,123
"015","1611855",2,47
"015","1804487",100,2868
"015","1991883",19,406
"017","1611236",10,589
"017",NA,4,26
"021","1609615",1,2
"023","1609637",588,28481
"023","1610229",675,31304
"023","1610856",23,630
"023","1611222",17,199
"023","1611746",1020,12109
"023","1612981",77,2848
"023","2415443",6,165
"023",NA,140,1750
"025","1804492",1,19
"027","1804493",35,557
"027",NA,1,11
"031","2416072",33,951
"033","1990766",28,304
"033",NA,2,22
"037","2415607",604,44964
"037",NA,3,91
"049","2415033",6,576
"051","1611469",56,2514
"051",NA,8,71
"053","1610815",119,6743
"053","1611361",94,5226
"053","1991889",11,358
"053","1991934",115,4668
"053","2416027",23,974
"053",NA,4,100
"055","1609677",59,1548
"055","1612670",127,2441
"055","1990589",85,1880
"055","1990642",6,68
"055","1992713",1,57
"055",NA,107,2574
"057","1609607",4,110
"057","1611215",4,224
"057","1611856",432,22400
"057","1804509",98,4934
"057",NA,5,201
"059","1610237",14,599
"059","1611692",3,37
"059","1804510",1,11
"065","1611831",3,79
"065","2415477",6,166
"065",NA,2,45
"069","1609653",12,518
"069","1611782",128,3515
"069","1611862",10,410
"069",NA,2,57
"071","2415146",27,495
"071",NA,2,69
"075","1611632",220,7282
"075",NA,3,176
"079","1611845",574,20143
"079",NA,38,1237
"087","1612761",1,33
"087","1612834",51,1422
"087","180452A",27,658
"087",NA,2,28
"089","1610832",4,117
"091","1613187",4,14
"095",NA,4,153
"097","1611472",611,15285
"097","1804529",160,4131
"097","2415651",25,674
"097",NA,51,1412
"103","1611100",115,3021
"103","1804532",7,319
"103",NA,2,34
"109","2415142",10,271
"109","2415453",1,23
"111","1612770",1450,14817
"111","1993069",67,707
"111",NA,13,113
"113","1611209",1,41
"113","1611698",61,1599
"113","1804537",12,167
"113",NA,10,241
"117","1610153",3,50
"117","1867736",123,2612
"117","1993171",16,322
"117","2415158",129,2935
"117","2415907",18,309
"117",NA,19,545
"119","1867720",24,566
"119","1993172",4,84
"121","1611456",2,36
"123","1611377",2,29
"123","1804542",98,2365
"123","2415093",2,61
"127","1611283",473,11923
"127","1613324",142,7120
"127","1804544",555,30088
"127",NA,24,245
"133","1611695",1,28
"133","1611705",3,42
"133","1804547",4,48
"137","1611596",1,27
"143","1609966",22,371
"143",NA,10,80
"145","1611742",6,48
"145",NA,29,316
"147","1612907",300,11050
"147","161291H",171,6794
"147","1804554",9,122
"151","1611691",331,7612
"151","1993222",3,104
"151",NA,10,89
